OV-LWA antenna beams										
2015NOV09 GRASP										
3mx3m ground screen										
30 dia x 5 m thick lossy ground										
										
										
theta[deg]	phi[deg]	freq[MHz]	co[real]	co[imag]	cx[real]	cx[imag]	theta[real]	theta[imag]	phi[real]	phi[imag]
35	45	30	-1.3303E+00	2.2383E-01	1.5208E-01	-3.4758E-02	-8.3315E-01	1.3369E-01	1.0482E+00	-1.8285E-01
40	45	30	-1.2616E+00	2.1997E-01	1.8210E-01	-1.4074E-02	-7.6334E-01	1.4559E-01	1.0209E+00	-1.6549E-01
45	45	30	-1.1770E+00	2.1186E-01	1.9730E-01	1.6127E-03	-6.9276E-01	1.5095E-01	9.7179E-01	-1.4867E-01
50	45	30	-1.0775E+00	2.0326E-01	1.9772E-01	8.7461E-03	-6.2212E-01	1.4991E-01	9.0174E-01	-1.3754E-01
55	45	30	-9.6685E-01	1.9786E-01	1.8630E-01	6.7022E-03	-5.5194E-01	1.4465E-01	8.1540E-01	-1.3517E-01
60	45	30	-8.4991E-01	1.9776E-01	1.6697E-01	-2.9100E-03	-4.8291E-01	1.3778E-01	7.1904E-01	-1.4190E-01
65	45	30	-7.3153E-01	2.0299E-01	1.4323E-01	-1.7290E-02	-4.1599E-01	1.3131E-01	6.1855E-01	-1.5576E-01
70	45	30	-6.1556E-01	2.1191E-01	1.1752E-01	-3.3333E-02	-3.5217E-01	1.2627E-01	5.1836E-01	-1.7341E-01
75	45	30	-5.0450E-01	2.2199E-01	9.1334E-02	-4.8182E-02	-2.9215E-01	1.2290E-01	4.2131E-01	-1.9104E-01
80	45	30	-3.9968E-01	2.3058E-01	6.5637E-02	-5.9467E-02	-2.3620E-01	1.2100E-01	3.2903E-01	-2.0509E-01
85	45	30	-3.0162E-01	2.3534E-01	4.1285E-02	-6.5383E-02	-1.8408E-01	1.2018E-01	2.4247E-01	-2.1264E-01
90	45	30	-2.1049E-01	2.3439E-01	1.9317E-02	-6.4750E-02	-1.3518E-01	1.1996E-01	1.6250E-01	-2.1153E-01
0	50	30	-1.5711E+00	2.1281E-01	1.3250E-05	-2.8879E-05	-1.0098E+00	1.3677E-01	1.2035E+00	-1.6304E-01
5	50	30	-1.5629E+00	2.1232E-01	-5.8543E-04	-7.5868E-03	-1.0051E+00	1.3066E-01	1.1969E+00	-1.6752E-01
10	50	30	-1.5409E+00	2.1210E-01	5.0547E-04	-2.6638E-02	-9.9008E-01	1.1593E-01	1.1807E+00	-1.7960E-01
15	50	30	-1.5108E+00	2.1457E-01	9.7743E-03	-4.8309E-02	-9.6365E-01	1.0092E-01	1.1636E+00	-1.9542E-01
20	50	30	-1.4781E+00	2.2062E-01	3.2362E-02	-6.2991E-02	-9.2534E-01	9.3559E-02	1.1531E+00	-2.0950E-01
25	50	30	-1.4446E+00	2.2816E-01	6.8001E-02	-6.4808E-02	-8.7647E-01	9.7014E-02	1.1503E+00	-2.1644E-01
30	50	30	-1.4071E+00	2.3314E-01	1.1050E-01	-5.3672E-02	-8.1984E-01	1.0874E-01	1.1489E+00	-2.1310E-01
35	50	30	-1.3598E+00	2.3226E-01	1.5065E-01	-3.4378E-02	-7.5865E-01	1.2296E-01	1.1385E+00	-2.0002E-01
40	50	30	-1.2968E+00	2.2517E-01	1.8037E-01	-1.3825E-02	-6.9537E-01	1.3415E-01	1.1093E+00	-1.8138E-01
45	50	30	-1.2151E+00	2.1467E-01	1.9539E-01	1.8730E-03	-6.3140E-01	1.3942E-01	1.0564E+00	-1.6324E-01
50	50	30	-1.1159E+00	2.0512E-01	1.9575E-01	9.1527E-03	-5.6735E-01	1.3886E-01	9.8068E-01	-1.5125E-01
55	50	30	-1.0033E+00	2.0031E-01	1.8440E-01	7.3381E-03	-5.0365E-01	1.3438E-01	8.8710E-01	-1.4873E-01
60	50	30	-8.8283E-01	2.0207E-01	1.6524E-01	-2.0231E-03	-4.4090E-01	1.2834E-01	7.8250E-01	-1.5610E-01
65	50	30	-7.5998E-01	2.0992E-01	1.4174E-01	-1.6178E-02	-3.7993E-01	1.2254E-01	6.7329E-01	-1.7120E-01
70	50	30	-6.3902E-01	2.2166E-01	1.1633E-01	-3.2051E-02	-3.2164E-01	1.1793E-01	5.6430E-01	-1.9040E-01
75	50	30	-5.2276E-01	2.3428E-01	9.0498E-02	-4.6797E-02	-2.6670E-01	1.1475E-01	4.5863E-01	-2.0955E-01
80	50	30	-4.1275E-01	2.4470E-01	6.5172E-02	-5.8050E-02	-2.1539E-01	1.1282E-01	3.5808E-01	-2.2477E-01
85	50	30	-3.0971E-01	2.5025E-01	4.1189E-02	-6.4014E-02	-1.6753E-01	1.1182E-01	2.6373E-01	-2.3285E-01
90	50	30	-2.1403E-01	2.4883E-01	1.9562E-02	-6.3514E-02	-1.2259E-01	1.1129E-01	1.7653E-01	-2.3144E-01
0	55	30	-1.5711E+00	2.1281E-01	1.3250E-05	-2.8879E-05	-9.0111E-01	1.2204E-01	1.2869E+00	-1.7434E-01
5	55	30	-1.5629E+00	2.1370E-01	-5.5641E-04	-7.2420E-03	-8.9691E-01	1.1664E-01	1.2799E+00	-1.7921E-01
10	55	30	-1.5414E+00	2.1700E-01	5.0089E-04	-2.5432E-02	-8.8370E-01	1.0363E-01	1.2629E+00	-1.9234E-01
15	55	30	-1.5134E+00	2.2354E-01	9.4044E-03	-4.6149E-02	-8.6032E-01	9.0412E-02	1.2451E+00	-2.0958E-01
20	55	30	-1.4851E+00	2.3253E-01	3.1083E-02	-6.0228E-02	-8.2634E-01	8.4038E-02	1.2343E+00	-2.2502E-01
25	55	30	-1.4582E+00	2.4082E-01	6.5279E-02	-6.2029E-02	-7.8291E-01	8.7315E-02	1.2319E+00	-2.3284E-01
30	55	30	-1.4286E+00	2.4430E-01	1.0605E-01	-5.1422E-02	-7.3253E-01	9.8003E-02	1.2311E+00	-2.2961E-01
35	55	30	-1.3887E+00	2.4049E-01	1.4457E-01	-3.2939E-02	-6.7808E-01	1.1096E-01	1.2204E+00	-2.1589E-01
40	55	30	-1.3312E+00	2.3021E-01	1.7306E-01	-1.3158E-02	-6.2176E-01	1.2126E-01	1.1897E+00	-1.9612E-01
45	55	30	-1.2525E+00	2.1730E-01	1.8744E-01	2.0534E-03	-5.6484E-01	1.2632E-01	1.1335E+00	-1.7683E-01
50	55	30	-1.1535E+00	2.0674E-01	1.8775E-01	9.2358E-03	-5.0784E-01	1.2615E-01	1.0526E+00	-1.6406E-01
55	55	30	-1.0390E+00	2.0245E-01	1.7682E-01	7.6880E-03	-4.5108E-01	1.2242E-01	9.5248E-01	-1.6143E-01
60	55	30	-9.1504E-01	2.0598E-01	1.5841E-01	-1.1472E-03	-3.9508E-01	1.1720E-01	8.4042E-01	-1.6938E-01
65	55	30	-7.8781E-01	2.1636E-01	1.3588E-01	-1.4648E-02	-3.4056E-01	1.1210E-01	7.2327E-01	-1.8563E-01
70	55	30	-6.6198E-01	2.3088E-01	1.1156E-01	-2.9863E-02	-2.8831E-01	1.0796E-01	6.0625E-01	-2.0625E-01
75	55	30	-5.4067E-01	2.4601E-01	8.6863E-02	-4.4047E-02	-2.3896E-01	1.0502E-01	4.9271E-01	-2.2678E-01
80	55	30	-4.2562E-01	2.5825E-01	6.2681E-02	-5.4915E-02	-1.9278E-01	1.0314E-01	3.8460E-01	-2.4304E-01
85	55	30	-3.1774E-01	2.6460E-01	3.9797E-02	-6.0733E-02	-1.4965E-01	1.0202E-01	2.8310E-01	-2.5158E-01
90	55	30	-2.1764E-01	2.6277E-01	1.9168E-02	-6.0370E-02	-1.0913E-01	1.0126E-01	1.8927E-01	-2.4987E-01
0	60	30	-1.5711E+00	2.1281E-01	1.3250E-05	-2.8879E-05	-7.8552E-01	1.0638E-01	1.3606E+00	-1.8431E-01
5	60	30	-1.5629E+00	2.1500E-01	-5.1014E-04	-6.6781E-03	-7.8190E-01	1.0171E-01	1.3533E+00	-1.8953E-01
10	60	30	-1.5419E+00	2.2159E-01	4.7868E-04	-2.3452E-02	-7.7052E-01	9.0485E-02	1.3355E+00	-2.0363E-01
15	60	30	-1.5158E+00	2.3197E-01	8.7358E-03	-4.2578E-02	-7.5031E-01	7.9111E-02	1.3171E+00	-2.2218E-01
20	60	30	-1.4917E+00	2.4374E-01	2.8823E-02	-5.5612E-02	-7.2087E-01	7.3711E-02	1.3062E+00	-2.3889E-01
25	60	30	-1.4711E+00	2.5275E-01	6.0503E-02	-5.7330E-02	-6.8315E-01	7.6727E-02	1.3043E+00	-2.4756E-01
30	60	30	-1.4489E+00	2.5484E-01	9.8269E-02	-4.7570E-02	-6.3936E-01	8.6224E-02	1.3039E+00	-2.4448E-01
35	60	30	-1.4160E+00	2.4826E-01	1.3395E-01	-3.0473E-02	-5.9201E-01	9.7738E-02	1.2933E+00	-2.3023E-01
40	60	30	-1.3638E+00	2.3492E-01	1.6032E-01	-1.2096E-02	-5.4304E-01	1.0699E-01	1.2612E+00	-2.0950E-01
45	60	30	-1.2878E+00	2.1969E-01	1.7362E-01	2.1245E-03	-4.9356E-01	1.1168E-01	1.2021E+00	-1.8919E-01
50	60	30	-1.1891E+00	2.0811E-01	1.7387E-01	8.9486E-03	-4.4398E-01	1.1181E-01	1.1167E+00	-1.7576E-01
55	60	30	-1.0727E+00	2.0425E-01	1.6370E-01	7.6813E-03	-3.9458E-01	1.0878E-01	1.0108E+00	-1.7304E-01
60	60	30	-9.4551E-01	2.0940E-01	1.4664E-01	-3.7745E-04	-3.4576E-01	1.0437E-01	8.9215E-01	-1.8153E-01
65	60	30	-8.1413E-01	2.2216E-01	1.2578E-01	-1.2816E-02	-2.9814E-01	9.9982E-02	7.6794E-01	-1.9881E-01
70	60	30	-6.8372E-01	2.3931E-01	1.0329E-01	-2.6898E-02	-2.5240E-01	9.6358E-02	6.4376E-01	-2.2069E-01
75	60	30	-5.5764E-01	2.5683E-01	8.0495E-02	-4.0070E-02	-2.0911E-01	9.3711E-02	5.2318E-01	-2.4245E-01
80	60	30	-4.3786E-01	2.7081E-01	5.8195E-02	-5.0200E-02	-1.6853E-01	9.1932E-02	4.0829E-01	-2.5963E-01
85	60	30	-3.2544E-01	2.7796E-01	3.7106E-02	-5.5673E-02	-1.3058E-01	9.0768E-02	3.0039E-01	-2.6856E-01
90	60	30	-2.2119E-01	2.7578E-01	1.8102E-02	-5.5436E-02	-9.4920E-02	8.9880E-02	2.0061E-01	-2.6655E-01
0	65	30	-1.5711E+00	2.1281E-01	1.3250E-05	-2.8879E-05	-6.6395E-01	8.9910E-02	1.4239E+00	-1.9288E-01
5	65	30	-1.5629E+00	2.1617E-01	-4.4812E-04	-5.9121E-03	-6.6093E-01	8.5999E-02	1.4163E+00	-1.9841E-01
10	65	30	-1.5423E+00	2.2575E-01	4.3840E-04	-2.0757E-02	-6.5140E-01	7.6593E-02	1.3980E+00	-2.1337E-01
15	65	30	-1.5179E+00	2.3961E-01	7.7836E-03	-3.7701E-02	-6.3446E-01	6.7094E-02	1.3790E+00	-2.3309E-01
20	65	30	-1.4977E+00	2.5391E-01	2.5639E-02	-4.9275E-02	-6.0970E-01	6.2650E-02	1.3682E+00	-2.5095E-01
25	65	30	-1.4829E+00	2.6360E-01	5.3792E-02	-5.0841E-02	-5.7794E-01	6.5323E-02	1.3667E+00	-2.6039E-01
30	65	30	-1.4675E+00	2.6443E-01	8.7352E-02	-4.2220E-02	-5.4102E-01	7.3487E-02	1.3669E+00	-2.5749E-01
35	65	30	-1.4410E+00	2.5531E-01	1.1905E-01	-2.7047E-02	-5.0108E-01	8.3387E-02	1.3563E+00	-2.4282E-01
40	65	30	-1.3935E+00	2.3918E-01	1.4248E-01	-1.0674E-02	-4.5979E-01	9.1406E-02	1.3232E+00	-2.2128E-01
45	65	30	-1.3201E+00	2.2177E-01	1.5427E-01	2.0657E-03	-4.1807E-01	9.5595E-02	1.2616E+00	-2.0012E-01
50	65	30	-1.2215E+00	2.0921E-01	1.5446E-01	8.2662E-03	-3.7626E-01	9.5909E-02	1.1724E+00	-1.8612E-01
55	65	30	-1.1035E+00	2.0569E-01	1.4540E-01	7.2729E-03	-3.3456E-01	9.3518E-02	1.0615E+00	-1.8334E-01
60	65	30	-9.7325E-01	2.1228E-01	1.3022E-01	2.1135E-04	-2.9329E-01	8.9906E-02	9.3710E-01	-1.9230E-01
65	65	30	-8.3809E-01	2.2720E-01	1.1169E-01	-1.0789E-02	-2.5297E-01	8.6242E-02	8.0678E-01	-2.1048E-01
70	65	30	-7.0351E-01	2.4674E-01	9.1751E-02	-2.3295E-02	-2.1416E-01	8.3165E-02	6.7638E-01	-2.3347E-01
75	65	30	-5.7313E-01	2.6646E-01	7.1554E-02	-3.5027E-02	-1.7736E-01	8.0864E-02	5.4967E-01	-2.5629E-01
80	65	30	-4.4906E-01	2.8206E-01	5.1818E-02	-4.4080E-02	-1.4282E-01	7.9255E-02	4.2888E-01	-2.7426E-01
85	65	30	-3.3253E-01	2.8997E-01	3.3166E-02	-4.9009E-02	-1.1047E-01	7.8128E-02	3.1539E-01	-2.8351E-01
90	65	30	-2.2455E-01	2.8749E-01	1.6362E-02	-4.8879E-02	-8.0068E-02	7.7199E-02	2.1042E-01	-2.8121E-01
0	70	30	-1.5711E+00	2.1281E-01	1.3250E-05	-2.8879E-05	-5.3732E-01	7.2757E-02	1.4763E+00	-1.9998E-01
5	70	30	-1.5629E+00	2.1718E-01	-3.7227E-04	-4.9673E-03	-5.3490E-01	6.9612E-02	1.4685E+00	-2.0578E-01
10	70	30	-1.5427E+00	2.2934E-01	3.8070E-04	-1.7428E-02	-5.2727E-01	6.2061E-02	1.4498E+00	-2.2147E-01
15	70	30	-1.5199E+00	2.4621E-01	6.5743E-03	-3.1663E-02	-5.1364E-01	5.4456E-02	1.4304E+00	-2.4219E-01
20	70	30	-1.5029E+00	2.6272E-01	2.1619E-02	-4.1406E-02	-4.9370E-01	5.0946E-02	1.4196E+00	-2.6104E-01
25	70	30	-1.4931E+00	2.7300E-01	4.5337E-02	-4.2753E-02	-4.6807E-01	5.3195E-02	1.4186E+00	-2.7116E-01
30	70	30	-1.4836E+00	2.7274E-01	7.3608E-02	-3.5529E-02	-4.3826E-01	5.9898E-02	1.4193E+00	-2.6845E-01
35	70	30	-1.4627E+00	2.6143E-01	1.0031E-01	-2.2762E-02	-4.0601E-01	6.8026E-02	1.4088E+00	-2.5345E-01
40	70	30	-1.4194E+00	2.4284E-01	1.2004E-01	-8.9389E-03	-3.7266E-01	7.4656E-02	1.3748E+00	-2.3125E-01
45	70	30	-1.3481E+00	2.2351E-01	1.2996E-01	1.8677E-03	-3.3896E-01	7.8200E-02	1.3113E+00	-2.0939E-01
50	70	30	-1.2498E+00	2.1006E-01	1.3010E-01	7.1903E-03	-3.0519E-01	7.8601E-02	1.2189E+00	-1.9493E-01
55	70	30	-1.1302E+00	2.0679E-01	1.2244E-01	6.4500E-03	-2.7148E-01	7.6786E-02	1.1039E+00	-1.9211E-01
60	70	30	-9.9735E-01	2.1462E-01	1.0964E-01	5.7332E-04	-2.3809E-01	7.3942E-02	9.7471E-01	-2.0148E-01
65	70	30	-8.5892E-01	2.3140E-01	9.4038E-02	-8.6557E-03	-2.0540E-01	7.1009E-02	8.3928E-01	-2.2040E-01
70	70	30	-7.2072E-01	2.5302E-01	7.7264E-02	-1.9186E-02	-1.7390E-01	6.8509E-02	7.0368E-01	-2.4432E-01
75	70	30	-5.8660E-01	2.7465E-01	6.0294E-02	-2.9090E-02	-1.4397E-01	6.6601E-02	5.7185E-01	-2.6804E-01
80	70	30	-4.5883E-01	2.9168E-01	4.3726E-02	-3.6754E-02	-1.1584E-01	6.5224E-02	4.4611E-01	-2.8666E-01
85	70	30	-3.3876E-01	3.0027E-01	2.8076E-02	-4.0956E-02	-8.9479E-02	6.4211E-02	3.2793E-01	-2.9617E-01
90	70	30	-2.2755E-01	2.9756E-01	1.3981E-02	-4.0904E-02	-6.4687E-02	6.3334E-02	2.1860E-01	-2.9361E-01
0	75	30	-1.5711E+00	2.1281E-01	1.3250E-05	-2.8879E-05	-4.0661E-01	5.5050E-02	1.5175E+00	-2.0556E-01
5	75	30	-1.5629E+00	2.1800E-01	-2.8488E-04	-3.8724E-03	-4.0479E-01	5.2683E-02	1.5096E+00	-2.1158E-01
10	75	30	-1.5430E+00	2.3225E-01	3.0729E-04	-1.3567E-02	-3.9905E-01	4.7007E-02	1.4905E+00	-2.2785E-01
15	75	30	-1.5214E+00	2.5158E-01	5.1445E-03	-2.4648E-02	-3.8880E-01	4.1305E-02	1.4709E+00	-2.4938E-01
20	75	30	-1.5071E+00	2.6988E-01	1.6886E-02	-3.2245E-02	-3.7377E-01	3.8704E-02	1.4602E+00	-2.6903E-01
25	75	30	-1.5015E+00	2.8065E-01	3.5394E-02	-3.3313E-02	-3.5443E-01	4.0460E-02	1.4595E+00	-2.7971E-01
30	75	30	-1.4968E+00	2.7952E-01	5.7455E-02	-2.7700E-02	-3.3191E-01	4.5589E-02	1.4607E+00	-2.7717E-01
35	75	30	-1.4804E+00	2.6642E-01	7.8291E-02	-1.7749E-02	-3.0754E-01	5.1810E-02	1.4502E+00	-2.6193E-01
40	75	30	-1.4405E+00	2.4581E-01	9.3683E-02	-6.9444E-03	-2.8234E-01	5.6912E-02	1.4157E+00	-2.3923E-01
45	75	30	-1.3710E+00	2.2489E-01	1.0142E-01	1.5352E-03	-2.5688E-01	5.9688E-02	1.3505E+00	-2.1683E-01
50	75	30	-1.2728E+00	2.1068E-01	1.0151E-01	5.7518E-03	-2.3136E-01	6.0083E-02	1.2557E+00	-2.0201E-01
55	75	30	-1.1520E+00	2.0758E-01	9.5524E-02	5.2359E-03	-2.0588E-01	5.8784E-02	1.1374E+00	-1.9916E-01
60	75	30	-1.0170E+00	2.1640E-01	8.5525E-02	6.9622E-04	-1.8061E-01	5.6681E-02	1.0045E+00	-2.0885E-01
65	75	30	-8.7590E-01	2.3469E-01	7.3349E-02	-6.4819E-03	-1.5585E-01	5.4481E-02	8.6504E-01	-2.2837E-01
70	75	30	-7.3476E-01	2.5802E-01	6.0273E-02	-1.4697E-02	-1.3195E-01	5.2583E-02	7.2532E-01	-2.5303E-01
75	75	30	-5.9761E-01	2.8122E-01	4.7058E-02	-2.2440E-02	-1.0922E-01	5.1110E-02	5.8942E-01	-2.7745E-01
80	75	30	-4.6682E-01	2.9943E-01	3.4165E-02	-2.8445E-02	-8.7823E-02	5.0021E-02	4.5976E-01	-2.9659E-01
85	75	30	-3.4388E-01	3.0858E-01	2.1992E-02	-3.1755E-02	-6.7760E-02	4.9193E-02	3.3786E-01	-3.0628E-01
90	75	30	-2.3005E-01	3.0570E-01	1.1031E-02	-3.1752E-02	-4.8886E-02	4.8451E-02	2.2507E-01	-3.0350E-01
0	80	30	-1.5711E+00	2.1281E-01	1.3250E-05	-2.8879E-05	-2.7280E-01	3.6925E-02	1.5472E+00	-2.0958E-01
5	80	30	-1.5629E+00	2.1861E-01	-1.8859E-04	-2.6607E-03	-2.7159E-01	3.5341E-02	1.5392E+00	-2.1575E-01
10	80	30	-1.5432E+00	2.3440E-01	2.2099E-04	-9.2918E-03	-2.6776E-01	3.1553E-02	1.5198E+00	-2.3246E-01
15	80	30	-1.5226E+00	2.5554E-01	3.5401E-03	-1.6872E-02	-2.6091E-01	2.7758E-02	1.5001E+00	-2.5458E-01
20	80	30	-1.5103E+00	2.7517E-01	1.1591E-02	-2.2074E-02	-2.5085E-01	2.6044E-02	1.4894E+00	-2.7482E-01
25	80	30	-1.5077E+00	2.8631E-01	2.4279E-02	-2.2814E-02	-2.3790E-01	2.7250E-02	1.4890E+00	-2.8592E-01
30	80	30	-1.5066E+00	2.8454E-01	3.9403E-02	-1.8979E-02	-2.2281E-01	3.0718E-02	1.4905E+00	-2.8351E-01
35	80	30	-1.4936E+00	2.7010E-01	5.3689E-02	-1.2165E-02	-2.0648E-01	3.4923E-02	1.4802E+00	-2.6811E-01
40	80	30	-1.4562E+00	2.4799E-01	6.4242E-02	-4.7508E-03	-1.8959E-01	3.8385E-02	1.4452E+00	-2.4505E-01
45	80	30	-1.3880E+00	2.2588E-01	6.9541E-02	1.0861E-03	-1.7253E-01	4.0293E-02	1.3789E+00	-2.2226E-01
50	80	30	-1.2898E+00	2.1109E-01	6.9602E-02	4.0102E-03	-1.5543E-01	4.0605E-02	1.2823E+00	-2.0719E-01
55	80	30	-1.1681E+00	2.0812E-01	6.5489E-02	3.6896E-03	-1.3835E-01	3.9773E-02	1.1617E+00	-2.0431E-01
60	80	30	-1.0316E+00	2.1765E-01	5.8626E-02	6.0180E-04	-1.2139E-01	3.8387E-02	1.0261E+00	-2.1424E-01
65	80	30	-8.8846E-01	2.3705E-01	5.0275E-02	-4.3075E-03	-1.0477E-01	3.6922E-02	8.8370E-01	-2.3420E-01
70	80	30	-7.4515E-01	2.6164E-01	4.1315E-02	-9.9399E-03	-8.8706E-02	3.5644E-02	7.4100E-01	-2.5939E-01
75	80	30	-6.0576E-01	2.8601E-01	3.2265E-02	-1.5257E-02	-7.3413E-02	3.4640E-02	6.0216E-01	-2.8432E-01
80	80	30	-4.7275E-01	3.0509E-01	2.3442E-02	-1.9389E-02	-5.9007E-02	3.3885E-02	4.6964E-01	-3.0383E-01
85	80	30	-3.4769E-01	3.1468E-01	1.5116E-02	-2.1675E-02	-4.5490E-02	3.3297E-02	3.4504E-01	-3.1366E-01
90	80	30	-2.3193E-01	3.1168E-01	7.6193E-03	-2.1692E-02	-3.2771E-02	3.2760E-02	2.2973E-01	-3.1071E-01
0	85	30	-1.5711E+00	2.1281E-01	1.3250E-05	-2.8879E-05	-1.3691E-01	1.8519E-02	1.5651E+00	-2.1200E-01
5	85	30	-1.5629E+00	2.1898E-01	-8.6230E-05	-1.3690E-03	-1.3630E-01	1.7721E-02	1.5570E+00	-2.1826E-01
10	85	30	-1.5433E+00	2.3572E-01	1.2548E-04	-4.7328E-03	-1.3439E-01	1.5830E-02	1.5375E+00	-2.3524E-01
15	85	30	-1.5233E+00	2.5797E-01	1.8148E-03	-8.5746E-03	-1.3095E-01	1.3941E-02	1.5176E+00	-2.5773E-01
20	85	30	-1.5123E+00	2.7842E-01	5.9067E-03	-1.1211E-02	-1.2592E-01	1.3098E-02	1.5070E+00	-2.7833E-01
25	85	30	-1.5115E+00	2.8978E-01	1.2354E-02	-1.1586E-02	-1.1943E-01	1.3714E-02	1.5068E+00	-2.8969E-01
30	85	30	-1.5126E+00	2.8762E-01	2.0040E-02	-9.6445E-03	-1.1187E-01	1.5460E-02	1.5086E+00	-2.8736E-01
35	85	30	-1.5016E+00	2.7237E-01	2.7304E-02	-6.1888E-03	-1.0368E-01	1.7573E-02	1.4983E+00	-2.7187E-01
40	85	30	-1.4658E+00	2.4933E-01	3.2672E-02	-2.4226E-03	-9.5203E-02	1.9317E-02	1.4630E+00	-2.4859E-01
45	85	30	-1.3984E+00	2.2648E-01	3.5369E-02	5.5070E-04	-8.6641E-02	2.0288E-02	1.3961E+00	-2.2557E-01
50	85	30	-1.3003E+00	2.1133E-01	3.5401E-02	2.0500E-03	-7.8060E-02	2.0461E-02	1.2984E+00	-2.1034E-01
55	85	30	-1.1780E+00	2.0842E-01	3.3306E-02	1.9013E-03	-6.9492E-02	2.0059E-02	1.1764E+00	-2.0746E-01
60	85	30	-1.0405E+00	2.1839E-01	2.9810E-02	3.4218E-04	-6.0989E-02	1.9375E-02	1.0391E+00	-2.1753E-01
65	85	30	-8.9618E-01	2.3847E-01	2.5558E-02	-2.1492E-03	-5.2646E-02	1.8643E-02	8.9499E-01	-2.3775E-01
70	85	30	-7.5152E-01	2.6383E-01	2.0999E-02	-5.0143E-03	-4.4581E-02	1.7999E-02	7.5049E-01	-2.6326E-01
75	85	30	-6.1076E-01	2.8892E-01	1.6398E-02	-7.7232E-03	-3.6895E-02	1.7488E-02	6.0986E-01	-2.8850E-01
80	85	30	-4.7640E-01	3.0855E-01	1.1916E-02	-9.8312E-03	-2.9650E-02	1.7098E-02	4.7562E-01	-3.0823E-01
85	85	30	-3.5004E-01	3.1840E-01	7.6884E-03	-1.1001E-02	-2.2849E-02	1.6791E-02	3.4937E-01	-3.1815E-01
90	85	30	-2.3309E-01	3.1534E-01	3.8834E-03	-1.1017E-02	-1.6447E-02	1.6508E-02	2.3254E-01	-3.1510E-01
0	90	30	-1.5711E+00	2.1281E-01	1.3250E-05	-2.8879E-05	1.3250E-05	-2.8879E-05	1.5711E+00	-2.1281E-01
5	90	30	-1.5629E+00	2.1910E-01	1.9168E-05	-3.6849E-05	1.9168E-05	-3.6849E-05	1.5629E+00	-2.1910E-01
10	90	30	-1.5434E+00	2.3617E-01	2.5112E-05	-2.9724E-05	2.5112E-05	-2.9724E-05	1.5434E+00	-2.3617E-01
15	90	30	-1.5235E+00	2.5879E-01	2.7459E-05	-1.1878E-05	2.7459E-05	-1.1878E-05	1.5235E+00	-2.5879E-01
20	90	30	-1.5129E+00	2.7951E-01	2.3481E-05	5.2393E-06	2.3481E-05	5.2393E-06	1.5129E+00	-2.7951E-01
25	90	30	-1.5128E+00	2.9096E-01	1.4931E-05	1.1003E-05	1.4931E-05	1.1003E-05	1.5128E+00	-2.9096E-01
30	90	30	-1.5146E+00	2.8866E-01	7.6881E-06	2.6938E-06	7.6881E-06	2.6938E-06	1.5146E+00	-2.8866E-01
35	90	30	-1.5044E+00	2.7313E-01	7.2220E-06	-1.3371E-05	7.2220E-06	-1.3371E-05	1.5044E+00	-2.7313E-01
40	90	30	-1.4690E+00	2.4979E-01	1.4046E-05	-2.6994E-05	1.4046E-05	-2.6994E-05	1.4690E+00	-2.4979E-01
45	90	30	-1.4019E+00	2.2669E-01	2.3277E-05	-3.1109E-05	2.3277E-05	-3.1109E-05	1.4019E+00	-2.2669E-01
50	90	30	-1.3038E+00	2.1141E-01	2.8351E-05	-2.5491E-05	2.8351E-05	-2.5491E-05	1.3038E+00	-2.1141E-01
55	90	30	-1.1813E+00	2.0852E-01	2.5460E-05	-1.5374E-05	2.5460E-05	-1.5374E-05	1.1813E+00	-2.0852E-01
60	90	30	-1.0435E+00	2.1863E-01	1.5384E-05	-7.1683E-06	1.5384E-05	-7.1683E-06	1.0435E+00	-2.1863E-01
65	90	30	-8.9877E-01	2.3895E-01	2.1394E-06	-4.7497E-06	2.1394E-06	-4.7497E-06	8.9877E-01	-2.3895E-01
70	90	30	-7.5367E-01	2.6456E-01	-9.7947E-06	-8.3019E-06	-9.7947E-06	-8.3019E-06	7.5367E-01	-2.6456E-01
75	90	30	-6.1244E-01	2.8990E-01	-1.7605E-05	-1.5420E-05	-1.7605E-05	-1.5420E-05	6.1244E-01	-2.8990E-01
80	90	30	-4.7762E-01	3.0971E-01	-2.0744E-05	-2.3003E-05	-2.0744E-05	-2.3003E-05	4.7762E-01	-3.0971E-01
85	90	30	-3.5082E-01	3.1965E-01	-2.0345E-05	-2.8696E-05	-2.0345E-05	-2.8696E-05	3.5082E-01	-3.1965E-01
90	90	30	-2.3348E-01	3.1657E-01	-1.8228E-05	-3.1470E-05	-1.8228E-05	-3.1470E-05	2.3348E-01	-3.1657E-01
0	0	40	-1.7206E+00	-3.3910E-01	-1.0437E-05	-3.3097E-06	-1.7206E+00	-3.3910E-01	-1.0437E-05	-3.3097E-06
5	0	40	-1.7137E+00	-3.1139E-01	6.0337E-07	8.6742E-06	-1.7137E+00	-3.1139E-01	6.0337E-07	8.6742E-06
10	0	40	-1.6935E+00	-2.5401E-01	-2.0765E-06	2.3323E-05	-1.6935E+00	-2.5401E-01	-2.0765E-06	2.3323E-05
15	0	40	-1.6605E+00	-2.1760E-01	-1.5089E-05	3.3447E-05	-1.6605E+00	-2.1760E-01	-1.5089E-05	3.3447E-05
